Absolute Time,u_hat,u_true,x_hat,x_m,x-error
3571895400.387588,-0.006464,-0.001567,-13.757797,-13.713307,0.044490
3571895400.397587,-0.006514,-0.001566,-13.757365,-13.713307,0.044058
3571895400.407588,-0.006564,-0.001565,-13.756937,-13.713307,0.043630
3571895400.417589,-0.006614,-0.001565,-13.756512,-13.713307,0.043205
3571895400.427588,-0.006662,-0.001564,-13.756091,-13.113626,0.642466
3571895400.437590,-0.006711,-0.001564,-13.755674,-13.113626,0.642048
3571895400.447588,-0.006649,-0.001563,-13.749236,-13.113626,0.635610
3571895400.457590,-0.006587,-0.001562,-13.742801,-13.113626,0.629175
3571895400.467590,-0.006526,-0.001562,-13.736427,-13.113626,0.622801
3571895400.477591,-0.006465,-0.001561,-13.730114,-13.113626,0.616489
3571895400.487590,-0.006405,-0.001561,-13.723862,-13.113626,0.610237
3571895400.497586,-0.006345,-0.001560,-13.717670,-13.113626,0.604044
3571895400.507591,-0.006286,-0.001559,-13.711537,-13.113626,0.597912
3571895400.517592,-0.006227,-0.001559,-13.705464,-13.113626,0.591838
3571895400.527592,-0.006169,-0.001558,-13.699448,-13.926713,-0.227265
3571895400.537591,-0.006111,-0.001558,-13.693490,-13.926713,-0.233223
3571895400.547592,-0.006051,-0.001557,-13.695735,-13.926713,-0.230978
3571895400.557593,-0.005993,-0.001556,-13.698036,-13.926713,-0.228677
3571895400.567593,-0.005935,-0.001556,-13.700316,-13.926713,-0.226398
3571895400.577592,-0.005877,-0.001555,-13.702572,-13.926713,-0.224141
